,Id,SubActivity,MainActivity,MainIndustry
305,2625,Manufacture of other ceramic products,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
297,2626,Manufacture of refractory ceramic products,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
298,2630,Manufacture of ceramic tiles and flags,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
299,2640,"Manufacture of bricks, tiles and construction products, in baked clay",Manufacture Other Non-Metal Mineral Products,Manufacture Other 
306,2651,Manufacture of cement,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
307,2652,Manufacture of lime,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
308,2653,Manufacture of plaster,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
309,2661,Manufacture of concrete products for construction purposes,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
310,2662,Manufacture of plaster products for construction purposes,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
311,2663,Manufacture of ready-mixed concrete,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
312,2664,Manufacture of mortars,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
313,2665,Manufacture of fibre cement,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
314,2666,"Manufacture of other articles of concrete, plaster and cement",Manufacture Other Non-Metal Mineral Products,Manufacture Other 
315,2670,"Cutting, shaping and finishing of ornamental and building stone",Manufacture Other Non-Metal Mineral Products,Manufacture Other 
316,2681,Production of abrasive products,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
317,2682,manufacture of asbestos,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
318,2682,Manufacture of other non-metallic mineral products n.e.c.,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
319,2710,Manufacture of basic iron and steel and of ferro-alloys,Basic Metals & Fabricated Products,Metals
332,2721,Manufacture of cast iron tubes,Basic Metals & Fabricated Products,Metals
320,2722,Manufacture of steel tubes,Basic Metals & Fabricated Products,Metals
321,2731,Cold drawing,Basic Metals & Fabricated Products,Metals
322,2732,Cold rolling of narrow strip,Basic Metals & Fabricated Products,Metals
323,2733,Cold forming or folding,Basic Metals & Fabricated Products,Metals
325,2734,Wire drawing,Basic Metals & Fabricated Products,Metals
326,2741,Precious metals production,Basic Metals & Fabricated Products,Metals
327,2742,Aluminium production,Basic Metals & Fabricated Products,Metals
328,2743,"Lead, zinc and tin production",Basic Metals & Fabricated Products,Metals
329,2744,Copper production,Basic Metals & Fabricated Products,Metals
330,2745,Other non-ferrous metal production,Basic Metals & Fabricated Products,Metals
333,2751,Casting of iron,Basic Metals & Fabricated Products,Metals
334,2752,Casting of steel,Basic Metals & Fabricated Products,Metals
335,2753,Casting of light metals,Basic Metals & Fabricated Products,Metals
336,2754,Casting of other non-ferrous metals,Basic Metals & Fabricated Products,Metals
324,2811,Manufacture of metal structures and parts of structures,"Manufacture Fabricated Metal, Not Machines",Metals
338,2812,Manufacture of builders' carpentry and joinery of metal,"Manufacture Fabricated Metal, Not Machines",Metals
340,2821,"Manufacture of tanks, reservoirs and containers of metal","Manufacture Fabricated Metal, Not Machines",Metals
339,2822,Manufacture of central heating radiators and boilers,"Manufacture Fabricated Metal, Not Machines",Metals
341,2830,"Manufacture of steam generators, except central heating hot water boilers","Manufacture Fabricated Metal, Not Machines",Metals
343,2840,"Forging, pressing, stamping and roll forming of metal; powder metallurgy","Manufacture Fabricated Metal, Not Machines",Metals
344,2851,Treatment and coating of metals,"Manufacture Fabricated Metal, Not Machines",Metals
345,2852,General mechanical engineering,"Manufacture Fabricated Metal, Not Machines",Metals
346,2861,Manufacture of cutlery,"Manufacture Fabricated Metal, Not Machines",Metals
350,2862,Manufacture of tools,"Manufacture Fabricated Metal, Not Machines",Metals
348,2863,Manufacture of locks and hinges,"Manufacture Fabricated Metal, Not Machines",Metals
352,2871,Manufacture of steel drums and similar containers,"Manufacture Fabricated Metal, Not Machines",Metals
353,2872,Manufacture of light metal packaging,"Manufacture Fabricated Metal, Not Machines",Metals
354,2873,Manufacture of wire products,"Manufacture Fabricated Metal, Not Machines",Metals
355,2874,"Manufacture of fasteners, screw machine products, chain and springs","Manufacture Fabricated Metal, Not Machines",Metals
347,2875,Manufacture of other fabricated metal products n.e.c.,"Manufacture Fabricated Metal, Not Machines",Metals
415,2911,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
414,2912,Manufacture of pumps and compressors,Manufacture of Machinery & Equipment,"Manufacture of Machinery, Electrical"
