"","Source","Target","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"93","2811","8010",-0.714773164725844,"Manufacture of metal structures and parts of structures","Primary education","NA","NA","NA","NA",17
"94","1584","8010",-0.682143140449556,"Manufacture of cocoa and  chocolate confectionery Manufacture of sugar confectionery","Primary education","NA","NA","NA","NA",10
"95","9131","8010",0.0438248384244601,"Activities of religious organizations","Primary education","NA","NA","NA","NA",73
"96","5231","8010",-0.399774337102857,"Dispensing chemists","Primary education","NA","NA","NA","NA",37
"97","5170","8010",-0.574309379327185,"","Primary education","","NA","","NA",23
"98","4523","8010",-0.222746395496648,"Construction of motorways, roads, airfields and sport facilities","Primary education","NA","NA","NA","NA",63
"99","5146","8010",-0.792992585725392,"Wholesale of pharmaceutical goods","Primary education","NA","NA","NA","NA",11
"100","9302","8010",-0.598774796947828,"Hairdressing and other beauty treatment","Primary education","NA","NA","NA","NA",16
"101","3120","8010",-0.780714224991826,"Manufacture of electricity distribution and control apparatus","Primary education","NA","NA","NA","NA",10
"102","9305","8010",-0.209279182155075,"Other service activities n.e.c., Operation of coin-operated photographic machines","Primary education","NA, NA","NA","NA, NA","NA",61
"103","9000","8010",-0.10570741669604,"","Primary education","","NA","","NA",101
"104","6323","8010",-0.598290450716238,"Other supporting air transport activities","Primary education","NA","NA","NA","NA",16
"105","5243","8010",-0.365786684740745,"Retail sale of footwear, leather goods","Primary education","NA","NA","NA","NA",51
"106","8513","8010",-0.340911936841319,"Dental practice activities","Primary education","NA","NA","NA","NA",26
"107","7132","8010",-0.729407840786793,"Renting of construction and civil engineering machinery and equipment","Primary education","NA","NA","NA","NA",10
"108","7032","8010",0.0508545588321922,"Management of real estate on a fee or contract basis","Primary education","NA","NA","NA","NA",110
"109","2523","8010",-0.675151263521643,"Manufacture of plastic floor covering,Manufacture of other builders' ware of plastic","Primary education","NA","NA","NA","NA",14
"110","2030","8010",-0.69493840063202,"Manufacture of builders' carpentry and joinery","Primary education","NA","NA","NA","NA",10
"111","6713","8010",-0.799901114054945,"Activities auxiliary to financial intermediation n.e.c.","Primary education","NA","NA","NA","NA",19
"112","3210","8010",-0.685689495353417,"Manufacture of electronic valves and tubes and other electronic components","Primary education","NA","NA","NA","NA",17
"113","6321","8010",-0.615698370174382,"Other supporting land transport activities","Primary education","NA","NA","NA","NA",12
"114","2922","8010",-0.668131955774073,"Manufacture of lifting and handling equipment","Primary education","NA","NA","NA","NA",10
"115","5143","8010",-0.551703330039155,"Wholesale of gramophone records, audio tapes, compact discs and video tapes and of the equipment on which these are played, radios and televisions; wholesale of electrical household appliances n.e.c, Wholesale of electrical household appliances and radio and television goods","Primary education","NA, NA","NA","NA, NA","NA",18
"116","5224","8010",-0.399098667493937,"Retail sale of bread, cakes, flour confectionery and sugar confectionery","Primary education","NA","NA","NA","NA",30
"117","130","8010",-0.645945865821184,"","Primary education","","NA","","NA",11
"118","1822","8010",-0.662358816056174,"Manufacture of other men's outerwear Manufacture of other women's outerwear","Primary education","NA","NA","NA","NA",13
"119","2924","8010",-0.634451726880304,"Manufacture of other general purpose machinery n.e.c.","Primary education","NA","NA","NA","NA",15
"120","3614","8010",-0.689845756106737,"Manufacture of other furniture","Primary education","NA","NA","NA","NA",10
"121","7260","8010",-0.560321460398935,"Other computer related activities","Primary education","NA","NA","NA","NA",23
"122","9301","8010",-0.139690760704741,"Washing and dry-cleaning of textile and fur products","Primary education","NA","NA","NA","NA",18
"123","7011","8010",-0.448043553153634,"Development and selling of real estate","Primary education","NA","NA","NA","NA",44
