"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"130","6419","8610",-0.879377427391321,"Other monetary intermediation","Hospital activities","Financial, insurance, pension","Human health activities","Business services","Government administrative functions, Education, Health",37
"131","5610","8610",-0.654464442696007,"Restaurants, mobile food service","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",137
"132","8424","8610",-0.893840509199804,"Police, public order, safety activ.","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",17
"133","7820","8610",0.0221560614510977,"Temporary employment agencies","Hospital activities","Employment activities","Human health activities","Business services","Government administrative functions, Education, Health",1001
"134","4771","8610",-0.612369508418003,"Clothing","Hospital activities","Specialised retail - other","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",118
"135","8411","8610",-0.758270025449774,"General public administration","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",65
"136","8690","8610",0.51104937390198,"Other","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",1360
"137","8542","8610",-0.121957996031062,"Tertiary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",266
"138","5310","8610",-0.881690584671041,"Under universal service obligation","Hospital activities","Postal, courier activities","Human health activities","Transportation and Storage","Government administrative functions, Education, Health",13
"139","8121","8610",-0.628374569224866,"General cleaning of buildings","Hospital activities","Buildings, landscape activities","Human health activities","Business services","Government administrative functions, Education, Health",94
"140","6910","8610",-0.797791252843864,"Legal activities","Hospital activities","Legal and accounting activities","Human health activities","Business services ","Government administrative functions, Education, Health",22
"141","4719","8610",-0.467063805902825,"Other non specialised","Hospital activities","Non specialised retail stores","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",102
"142","8899","8610",-0.417098656774557,"Other","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",148
"143","6920","8610",-0.670506446376516,"Accounting, auditing; tax consltcy","Hospital activities","Legal and accounting activities","Human health activities","Business services","Government administrative functions, Education, Health",43
"144","4120","8610",-0.911434007356452,"Residential, non-residential buildings","Hospital activities","Construction of buildings","Human health activities","Construction (including development of real estate)","Government administrative functions, Education, Health",10
"145","5630","8610",-0.555867965081001,"Beverage serving","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",111
"146","7112","8610",-0.871989806897269,"Engineering/tech consultancy","Hospital activities","Architectural, eng/tech testing","Human health activities","Business services","Government administrative functions, Education, Health",14
"147","8810","8610",-0.134815039873489,"Elderly, disabled","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",218
"148","6820","8610",-0.731681469449728,"Renting, operating own or leased ","Hospital activities","Real estate activities","Human health activities","Business services ","Government administrative functions, Education, Health",26
"149","8531","8610",-0.787481835269534,"General secondary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",32
"150","6202","8610",-0.772556361465872,"Consultancy activities","Hospital activities","Computer programming, consultancy","Human health activities","Information and Communication","Government administrative functions, Education, Health",21
"151","4511","8610",-0.73082470015183,"Sale of cars, light motor vehicles","Hospital activities","Motor vehicle/cycle trade, repair","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",20
"152","8010","8610",-0.613956669735655,"Private security","Hospital activities","Security, investigation activities","Human health activities","Business services","Government administrative functions, Education, Health",35
"153","4941","8610",-0.835686013719316,"Road freight transport","Hospital activities","Land, pipeline transport","Human health activities","Transportation and Storage","Government administrative functions, Education, Health",13
"154","8790","8610",-0.104305528545817,"Other","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",195
"155","5510","8610",-0.647979404680363,"Hotels and similar","Hospital activities","Accommodation","Human health activities","Other Service activities","Government administrative functions, Education, Health",45
"156","7022","8610",-0.603072061141482,"Business, other management","Hospital activities","Head offices; mgment consultancy","Human health activities","Business services","Government administrative functions, Education, Health",47
"157","9200","8610",-0.588540935791817,"Gambling, betting activities","Hospital activities","Gambling, betting","Human health activities","Other Service activities","Government administrative functions, Education, Health",27
"158","8710","8610",0.307364069657902,"Residential nursing care","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",442
"159","8423","8610",-0.578304560089813,"Justice, judicial activities","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",30
"160","8730","8610",0.0763880291703355,"Elderly, disabled","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",278
"161","8110","8610",-0.503073587020934,"Combined facilities support","Hospital activities","Buildings, landscape activities","Human health activities","Business services","Government administrative functions, Education, Health",61
"162","8532","8610",-0.664770017283248,"Technical, vocational secondary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",30
"163","5621","8610",-0.705272126788663,"Event catering","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",30
"164","8891","8610",-0.498031913036876,"Child day-care","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",50
"165","5320","8610",-0.74281338152369,"Other","Hospital activities","Postal, courier activities","Human health activities","Transportation and Storage","Government administrative functions, Education, Health",14
"166","8621","8610",0.44084897450466,"General medical practices","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",300
"167","4321","8610",-0.804310144955822,"Electrical installation","Hospital activities","Specialised activities","Human health activities","Construction (including development of real estate)","Government administrative functions, Education, Health",12
"168","4299","8610",-0.787841507040426,"Other civil engineering nec","Hospital activities","Civil engineering","Human health activities","Construction (including development of real estate)","Government administrative functions, Education, Health",13
"169","5629","8610",-0.587519718033071,"Other food service","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",31
"170","6512","8610",-0.713879055185718,"Non-life insurance","Hospital activities","Financial, insurance, pension","Human health activities","Business services","Government administrative functions, Education, Health",14
"171","6831","8610",-0.675567281817214,"Agencies fee/contract basis","Hospital activities","Real estate activities","Human health activities","Business services ","Government administrative functions, Education, Health",14
"172","8559","8610",-0.490186760236411,"Other education nec","Hospital activities","Other education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",46
"173","6209","8610",-0.766949218767846,"Other","Hospital activities","Computer programming, consultancy","Human health activities","Information and Communication","Government administrative functions, Education, Health",10
"174","4752","8610",-0.647225223998861,"Hardware, paints, glass","Hospital activities","Specialised retail - household","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",15
"175","8412","8610",0.403434074326883,"Health care, education etc","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",214
"176","7219","8610",-0.543364523407699,"Other natural sciences, engineering","Hospital activities","Scientific research, development","Human health activities","Business services","Government administrative functions, Education, Health",21
"177","7010","8610",-0.587805218619071,"Head office activities","Hospital activities","Head offices; mgment consultancy","Human health activities","Business services","Government administrative functions, Education, Health",21
"178","8299","8610",-0.473438317256267,"Other","Hospital activities","Office admin, business support","Human health activities","Business services","Government administrative functions, Education, Health",49
